genre,file_number,spectral_centroid,spectral_flux_mean,chroma_features,tonal_centroid,tempo,hnr
blues,1,833.6452902,40745.4,"[0.6330385804176331, 0.5449451208114624, 0.573034405708313, 0.4170038104057312, 0.4465927183628082, 0.5667015314102173, 0.598439633846283, 0.7190428376197815, 0.5580118894577026, 0.4955073297023773, 0.5268043279647827, 0.5756567120552063]","[[ 3.07394123e-04  2.45493913e-03  2.90415723e-03 ... -7.67613890e-04
  -4.79870835e-03  6.93619460e-04]
 [-2.40398401e-03 -2.51968423e-03 -5.20377610e-03 ... -7.44531272e-03
  -2.64749786e-03 -3.83240824e-03]
 [ 7.77363032e-03  7.18504190e-03  8.81012529e-03 ... -6.47555292e-03
  -7.74256140e-03 -5.17895818e-03]
 [-1.61749870e-03  8.34133476e-03  1.13417059e-02 ... -3.33902985e-03
  -1.66487694e-03 -3.16549093e-03]
 [ 1.89178006e-03  1.01790679e-03  4.50312443e-05 ... -6.56288928e-04
   2.68404992e-03  3.93552363e-03]
 [ 3.26585956e-03  1.22019090e-03  1.20754540e-03 ...  1.61139853e-03
   1.67739205e-03 -1.64883211e-04]]",135.9991776,-107.10181
blues,2,1316.541379,49646.91,"[0.5148773193359375, 0.4607434868812561, 0.5582494139671326, 0.6137275695800781, 0.7193561792373657, 0.5371947288513184, 0.5655806660652161, 0.5426157116889954, 0.6003647446632385, 0.6305681467056274, 0.5858015418052673, 0.7695510983467102]","[[-0.0019632  -0.00055159 -0.00462178 ...  0.00711409  0.00795473
   0.00544345]
 [ 0.00685253  0.01064639  0.01328091 ...  0.00047482  0.00374632
  -0.00211933]
 [-0.00295792 -0.00743739 -0.00763388 ...  0.00072168  0.00401264
   0.00602292]
 [ 0.00902197  0.01113715  0.01384134 ...  0.00990906  0.01255876
   0.01126148]
 [ 0.00623897  0.00530022  0.00765753 ...  0.0042863   0.00702246
   0.00649458]
 [ 0.00314026  0.00169302  0.00072107 ...  0.00075673  0.00083776
   0.00196061]]",105.46875,-84.46175
blues,3,497.8784982,31911.275,"[0.5448897480964661, 0.5785441994667053, 0.6674457788467407, 0.6987496614456177, 0.7905219793319702, 0.639134407043457, 0.6029508709907532, 0.5756658315658569, 0.583035409450531, 0.6016767621040344, 0.5739322900772095, 0.6589971780776978]","[[-0.00055542 -0.0010412  -0.00120535 ...  0.00124645  0.00135393
   0.00209877]
 [-0.00220893 -0.00287642 -0.00180869 ...  0.00115131  0.00169939
  -0.00106948]
 [ 0.00669237  0.00752288  0.00640313 ... -0.00180455 -0.00325071
  -0.00131088]
 [ 0.00965179  0.01205585  0.01033436 ...  0.00227839  0.00380909
   0.0037236 ]
 [-0.00070774 -0.00087569 -0.00030133 ...  0.00187453  0.00226247
   0.00159607]
 [-0.00143085 -0.00183665 -0.00326753 ... -0.00168953 -0.00184502
  -0.00183388]]",126.0480183,-127.28873
blues,5,1773.641998,39794.17,"[0.4808782935142517, 0.49220559000968933, 0.7595334053039551, 0.4707207679748535, 0.3849175274372101, 0.5199235677719116, 0.5310452580451965, 0.6374687552452087, 0.48377999663352966, 0.5643318891525269, 0.5414736270904541, 0.6413629055023193]","[[ 2.44676316e-03  4.31628776e-03  4.27198953e-03 ...  2.11493289e-03
  -1.27246963e-05  2.49453689e-03]
 [-5.10505621e-04  2.60607963e-03  4.29217219e-03 ... -5.01328567e-03
  -2.67860025e-03 -1.50140924e-03]
 [ 9.46711749e-03  1.27519518e-02  1.64836496e-02 ...  1.43000260e-02
   1.42729282e-02  1.69072524e-02]
 [-6.71394169e-04  7.41541386e-04  2.68625468e-03 ...  1.37271583e-02
   1.38030425e-02  1.81557834e-02]
 [ 5.59113968e-03  3.65599310e-03  1.12828141e-03 ... -9.94700761e-05
   1.30530924e-03  1.39833015e-03]
 [ 2.33027339e-03  2.21272372e-03  3.65944393e-03 ...  4.98195738e-03
   5.98100014e-03  2.24089995e-03]]",139.6748311,-80.0603
blues,6,1380.746707,36514.81,"[0.6613060832023621, 0.4720797538757324, 0.39226531982421875, 0.40713730454444885, 0.4805055260658264, 0.6495459079742432, 0.4222586750984192, 0.4134555459022522, 0.5030074119567871, 0.6284390091896057, 0.5322809815406799, 0.5106815099716187]","[[-0.00056091  0.00202995  0.0019361  ...  0.00756372  0.00243772
  -0.0028717 ]
 [-0.0048902  -0.00491592 -0.00770519 ... -0.01093257 -0.00830258
  -0.0075887 ]
 [ 0.00675612  0.00623276  0.00643393 ...  0.00341886  0.00207623
   0.00346773]
 [-0.00659432 -0.00730882 -0.01465176 ...  0.00440764 -0.00326018
  -0.00954082]
 [ 0.00135727  0.00459589  0.00431893 ...  0.00198093  0.00137113
   0.00284492]
 [-0.00196316 -0.00156414 -0.00012578 ... -0.00266702 -0.00051494
   0.00268276]]",143.5546875,-92.55715
blues,7,1145.041264,39367.28,"[0.5300004482269287, 0.5062549114227295, 0.6371791958808899, 0.4719753861427307, 0.45414021611213684, 0.5657719373703003, 0.44073864817619324, 0.4346045255661011, 0.5345439314842224, 0.6198756694793701, 0.7758750319480896, 0.6278583407402039]","[[-3.29489736e-03 -5.02098047e-03 -4.25716234e-03 ...  3.26228799e-05
   3.71795032e-05 -7.28923393e-04]
 [ 1.56037071e-03  7.32226711e-04  3.71924640e-04 ...  1.13997420e-03
  -2.11574559e-03 -3.61387717e-03]
 [ 9.43989307e-03  1.12242475e-02  1.31470263e-02 ... -4.28148359e-03
   6.51519746e-03  1.32719502e-02]
 [ 1.54336244e-02  1.74039081e-02  1.28269196e-02 ... -1.07394159e-03
   2.40223110e-03  3.13096493e-03]
 [ 3.47788127e-03  3.83277573e-03  4.35966517e-03 ...  6.06289665e-03
   4.37527350e-03  4.50275341e-03]
 [-1.62815116e-03 -1.21215545e-03 -3.73763964e-04 ...  5.58812357e-03
   2.50733458e-03  1.50748156e-03]]",114.84375,-109.08823
blues,8,902.9531232,45372.9,"[0.5408530831336975, 0.5024193525314331, 0.5529817342758179, 0.621022641658783, 0.7053899765014648, 0.6545867323875427, 0.7558449506759644, 0.6502342224121094, 0.7059776782989502, 0.7525821328163147, 0.6003778576850891, 0.7076610922813416]","[[ 0.00073259 -0.00015667  0.0006952  ...  0.00267798  0.00393121
   0.00622794]
 [ 0.00443579  0.00260862  0.00535409 ...  0.00177164 -0.00212258
  -0.00406617]
 [ 0.00904755  0.00480105  0.00976628 ...  0.0101942   0.00787397
   0.00633828]
 [ 0.00709727  0.01363195  0.01242141 ...  0.01168471  0.00654019
   0.00967174]
 [ 0.00177033  0.00164095  0.00604722 ...  0.00742083  0.00859079
   0.0070576 ]
 [-0.00501954 -0.00399538 -0.0016147  ... -0.00531998 -0.0064381
  -0.00897365]]",112.3471467,-123.35478
blues,9,1306.568842,34061.203,"[0.46406927704811096, 0.4789521098136902, 0.6739899516105652, 0.45222198963165283, 0.4316248595714569, 0.4819665849208832, 0.4544064402580261, 0.6066095232963562, 0.4744337201118469, 0.45987001061439514, 0.46149376034736633, 0.4852679669857025]","[[-0.00373848 -0.00254168 -0.00255336 ... -0.00130166 -0.0013267
   0.00145141]
 [-0.00264246 -0.00042617  0.00117877 ... -0.00270565 -0.002136
  -0.00500581]
 [ 0.01280227  0.01742426  0.01259315 ...  0.01255406  0.01356757
   0.01081425]
 [ 0.00327917  0.00738438  0.00576683 ...  0.01078469  0.00909062
   0.01090582]
 [ 0.00305694  0.00025751 -0.00095514 ...  0.0028633   0.00156484
   0.00200936]
 [ 0.00470343  0.00782087  0.00507995 ...  0.00157151  0.00232971
   0.00090295]]",120.1853198,-46.116467
blues,11,720.3871269,31788.316,"[0.4774637222290039, 0.4586333632469177, 0.5073474645614624, 0.5826761722564697, 0.7859728336334229, 0.6447525024414062, 0.5782920718193054, 0.6226935386657715, 0.6452476978302002, 0.6400504112243652, 0.5421140789985657, 0.5976478457450867]","[[ 7.68672565e-04  3.90347343e-03  5.24365632e-03 ... -1.22669776e-03
  -1.67438664e-03 -1.57011295e-03]
 [-2.60979542e-03  1.88047847e-03  4.83950787e-03 ...  1.41966054e-03
  -1.01804754e-03 -3.62779218e-04]
 [ 4.71203774e-03  9.03856754e-03  1.16309300e-02 ...  1.27004236e-02
   1.38746351e-02  1.16070136e-02]
 [ 1.14496052e-02  1.18874088e-02  9.11972672e-03 ...  1.82107091e-03
   3.53918970e-03  1.64570659e-03]
 [ 1.28749741e-03 -1.10132009e-03 -2.33995031e-03 ...  9.75537157e-05
  -9.50714805e-04  6.71761765e-04]
 [ 2.39448622e-03  2.08758563e-03  1.55046023e-03 ... -3.85820866e-04
   1.69050321e-03  7.24716112e-04]]",112.3471467,-118.16364
blues,13,890.8949791,34061.305,"[0.35126063227653503, 0.33986708521842957, 0.4207034409046173, 0.3751165270805359, 0.4228981137275696, 0.5336820483207703, 0.41521960496902466, 0.43128952383995056, 0.5694294571876526, 0.5949171185493469, 0.8011422753334045, 0.5638575553894043]","[[-0.00149477  0.00384998  0.00518635 ...  0.00162767  0.00148871
  -0.00044001]
 [ 0.0017745  -0.00080064  0.00071513 ...  0.00168853  0.00187824
   0.00186588]
 [ 0.00187603  0.00043415 -0.00022042 ... -0.0043998  -0.00265141
  -0.00163781]
 [ 0.00965428  0.01135945  0.0108965  ...  0.00887915  0.0047729
   0.00698642]
 [ 0.00218516  0.00227556  0.00271945 ...  0.00143335  0.00127369
  -0.00030347]
 [-0.00265259 -0.00286344 -0.00262913 ... -0.00240928 -0.00164824
  -0.00091493]]",143.5546875,-92.167366
